country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
ARG,Argentina,AGUA DEL CAJON (AUTOGENERADOR DEL MEM),479.2,-38.9368,-68.3556,Other,Gas,,,1997.4,CAPEX SA,,Ministerio de Energía y Minería,
ARG,Argentina,AGUA DEL CAJON (GENERADOR DEL MEM),192,-38.9368,-68.3556,Gas,,,,1993.5,CAPEX SA,,Ministerio de Energía y Minería,
ARG,Argentina,AGUA DEL TORO,130,-34.5792,-68.9892,Hydro,,,,1982,HIDISA,,Ministerio de Energía y Minería,288.58
ARG,Argentina,ALICURA,1050,-40.58,-70.7489,Hydro,,,,1987,AES ARGENTINA GENERACION S.A.,,Ministerio de Energía y Minería,2896.84
ARG,Argentina,ALMIRANTE BROWN,25,-34.8386,-58.4033,Oil,,,,,C.T. ALMIRANTE BROWN SA,,Ministerio de Energía y Minería,
ARG,Argentina,ALTO VALLE,97.5,-38.9524,-68.0218,Gas,Other,,,1969,CT ALTO VALLE SA,,Ministerio de Energía y Minería,
ARG,Argentina,ALUMINE,1.904,-39.2145,-70.9157,Oil,Hydro,,,,EPEN,,Ministerio de Energía y Minería,
ARG,Argentina,ALVAREZ CONDARCO,50.7,-33.0452,-69.0516,Hydro,,,,2003,CEMPPSA - HIDROCUYO SA,,Ministerio de Energía y Minería,141.57
ARG,Argentina,ARROYITO,128,-39.1009,-68.5982,Hydro,,,,1977,H. EL CHOCON SA,,Ministerio de Energía y Minería,413.34
ARG,Argentina,ATUCHA I,370,-33.967,-59.2059,Nuclear,,,,1974,NASA,,Ministerio de Energía y Minería,
ARG,Argentina,ATUCHA II,745,-33.9674,-59.2045,Nuclear,,,,2014,NASA,,Ministerio de Energía y Minería,
ARG,Argentina,BANDERA,31,-23.8219,-64.7847,Oil,,,,,ENARSA,,Ministerio de Energía y Minería,
ARG,Argentina,BARILOCHE (PUERTO  MORENO),5.736,-41.1167,-71.4167,Oil,Hydro,,,,COOPERATIVA DE ELECTRICIDAD BARILOCHE LTDA,,Ministerio de Energía y Minería,
ARG,Argentina,BENJAMIN REOLIN,38.4,-32.1883,-64.3233,Hydro,,,,1966,EPEC,,Ministerio de Energía y Minería,90.12
ARG,Argentina,BERNARDO  DE IRIGOYEN,2.096,-26.2545,-53.6469,Oil,,,,,EMSA,,Ministerio de Energía y Minería,
ARG,Argentina,C.T. RUFINO,31.9,-34.2605,-62.7107,Oil,,,,,ENARSA,,Ministerio de Energía y Minería,
ARG,Argentina,C.T. SAN VICENTE,27.6,-35.0241,-58.4237,Oil,,,,,ENARSA,,Ministerio de Energía y Minería,
ARG,Argentina,CAA CATI,1.415,-27.7534,-57.6205,Oil,,,,,DPEC,,Ministerio de Energía y Minería,
ARG,Argentina,CABRA CORRAL,102,-25.2712,-65.3298,Hydro,,,,1978,AES ARGENTINA GENERACION S.A.,,Ministerio de Energía y Minería,380.17
ARG,Argentina,CACHEUTA (NUEVA),120,-33.0291,-69.1109,Hydro,,,,2002,CEMPPSA - HIDROCUYO SA,,Ministerio de Energía y Minería,297.51
ARG,Argentina,CACHI,1.07,-25.1089,-66.2106,Oil,,,,,AES ARGENTINA GENERACION S.A.,,Ministerio de Energía y Minería,
ARG,Argentina,CAFAYATE,4.182,-26.0715,-65.9876,Oil,,,,,AES ARGENTINA GENERACION S.A.,,Ministerio de Energía y Minería,
ARG,Argentina,CAPITAL CATAMARCA - PREDIO CHOYA,5.728,-28.4537,-65.7841,Oil,,,,,ENDESA COSTANERA,,Ministerio de Energía y Minería,
ARG,Argentina,CAPITAL CATAMARCA - PREDIO EX CARCEL,7.075,-28.4773,-65.7872,Oil,,,,,ENDESA COSTANERA,,Ministerio de Energía y Minería,
ARG,Argentina,CAPITAL CATAMARCA - PREDIO RIPIERA,4.675,-28.4684,-65.7797,Oil,,,,,ENDESA COSTANERA,,Ministerio de Energía y Minería,
ARG,Argentina,CASA DE PIEDRA,60,-38.2143,-67.1908,Hydro,,,,1996,ENTE CASA DE PIEDRA,,Ministerio de Energía y Minería,195.69
ARG,Argentina,CASSAFFOUSTH,17.28,-31.3992,-64.2006,Hydro,,,,1953,EPEC,,Ministerio de Energía y Minería,45.68
ARG,Argentina,CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,620,-38.7872,-62.2536,Coal,,,,1990,PAMPA ENERGIA,,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL LOMA DE LA LATA SA,540,-38.5127,-68.6048,Gas,Other,,,1999.5,PAMPA ENERGIA,,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL PARQUE INDUSTRIAL LA BANDA,11.228,-38.062,-67.9463,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL T.GENELBA,673.6,-34.9027,-58.7334,Gas,Other,,,1997.7,PETROBRAS ENERGIA,,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL T.GENELBA PLUS,164.55,-34.9027,-58.7334,Gas,,,,,PETROBRAS ENERGIA,,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),280,-31.7112,-60.7811,Gas,,,,2013,ENARSA,,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL TERMICA DE CICLO COMBINADO SALTA,643,-24.7456,-65.0513,Gas,Other,,,1999.4,AES - TERMOANDES SA,,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL TERMICA GÜEMES SA,361,-24.6894,-65.0425,Coal,Gas,,,1993.3,PAMPA ENERGIA,,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL TERMICA LA BANDA,32,-27.7528,-64.2655,Gas,,,,,GENERACION LA BANDA S.A. (GRUPO ALBANESI ),,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL TERMICA PIQUIRENDA SA,30.44,-22.3497,-63.7664,Oil,,,,2010,EMDERSA GENERACION SALTA SA - PAMPA ENERGIA,,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL TERMICA REMEDIOS DE ESCALADA,25,-34.7208,-58.3881,Oil,,,,,AGGREKO ARGENTINA SRL,,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL TERMOELECTRICA GUILLERMO BROWN,524,-34.6268,-58.5438,Gas,,,,,TERMOELECTRICA GUILLERMO BROWN,,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL TERMOELECTRICA MANUEL BELGRANO,868.2,-24.6894,-65.0425,Gas,Other,,,2008.7,TERMOELECTRICA MANUEL BELGRANO SA (TMB),,Ministerio de Energía y Minería,
ARG,Argentina,CENTRAL TERMOELECTRICA TIMBUES,865.14,-32.5778,-60.791,Gas,Other,,,2008.7,CENTRAL TERMOELECTRICA JOSE DE SAN MARTIN (TSM),,Ministerio de Energía y Minería,
ARG,Argentina,CH LOS CARACOLES,121.4,-31.5192,-68.9814,Hydro,,,,2009,EPSE - ENERGIA PROVINCIAL SOCIEDAD DEL ESTADO,,Ministerio de Energía y Minería,341.9
ARG,Argentina,CHILECITO,5,-29.1578,-67.5069,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CHIMBERA 1,2,-31.9881,-68.5402,Solar,,,,,ENARSA,,Ministerio de Energía y Minería,4.26
ARG,Argentina,CIPOLLETTI,5.78,-38.9121,-67.9427,Hydro,,,,1954,DPA RIO NEGRO,,Ministerio de Energía y Minería,11.1
ARG,Argentina,COMANDANTE ANDRESITO,2.372,-25.6669,-54.0419,Oil,,,,,EMSA,,Ministerio de Energía y Minería,
ARG,Argentina,COMODORO RIVADAVIA,141.02,-25.9913,-54.6278,Gas,Other,,,1990,CT PATAGONICAS SA,,Ministerio de Energía y Minería,
ARG,Argentina,COMODORO RIVADAVIA - ANTONIO MORAN,16.56,-45.8467,-67.4964,Wind,,,,,COOPERATIVA,,Ministerio de Energía y Minería,
ARG,Argentina,CORRIENTES,1.4,-27.4708,-58.8042,Oil,,,,,DPEC,,Ministerio de Energía y Minería,
ARG,Argentina,COSTANERA,1982.2,-34.626,-58.3393,Coal,Gas,Other,,1983.9,ENDESA COSTANERA,,Ministerio de Energía y Minería,
ARG,Argentina,CRUZ DE PIEDRA,17.94,-33.0349,-68.7971,Gas,,,,1969,CT MENDOZA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CRUZ DEL EJE,5.052,-30.7636,-64.7538,Oil,Hydro,,,1943,EPEC,,Ministerio de Energía y Minería,
ARG,Argentina,CT 13 DE JULIO,26,-32.1613,-64.1537,Gas,,,,,GECOR  (GENERADORA CORDOBA SA),,Ministerio de Energía y Minería,
ARG,Argentina,CT ALEM,15,-43.0907,-65.2298,Oil,,,,,AGGREKO ARGENTINA SRL,,Ministerio de Energía y Minería,
ARG,Argentina,CT ALUMINE,6.3,-38.8706,-70.5753,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT ARISTOBULO DEL VALLE,15,-27.0922,-54.8625,Oil,,,,,SOENERGY ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT ARRECIFES,20,-34.0414,-60.1297,Oil,,,,,AGGREKO ARGENTINA SRL,,Ministerio de Energía y Minería,
ARG,Argentina,CT AÑATUYA,19.2,-28.4431,-62.8569,Oil,,,,,SULLAIR ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT AÑATUYA II,11.5,-28.4431,-62.8569,Oil,,,,,SULLAIR ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT BARILOCHE,20,-41.1497,-71.2633,Oil,,,,,SOENERGY ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT BELL VILLE,15.62,-32.6103,-62.6864,Oil,,,,,SULLAIR ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT BRAGADO,49.8,-35.1364,-60.4311,Gas,,,,,GENNEIA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT CAPITAN SARMIENTO,5,-34.1636,-59.7683,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT CATAMARCA,19.2,-28.4706,-65.7647,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT CAVIAHUE,5,-38.0528,-70.6136,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT CERES,18,-29.8883,-61.9297,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT CHARATA,19.4,-27.2369,-61.1939,Oil,,,,,SULLAIR ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT CHILECITO,10,-29.1581,-67.5072,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT CIPOLLETTI,5,-38.9133,-67.9414,Oil,,,,,AGGREKO ARGENTINA SRL,,Ministerio de Energía y Minería,
ARG,Argentina,CT COLON BUENOS AIRES,15.3,-33.9222,-61.0769,Oil,,,,,SULLAIR ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT CONCEPCION DEL URUGUAY,41.78,-32.4767,-58.2672,Gas,,,,,GENNEIA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT CORRIENTES,20,-27.4708,-58.8042,Oil,,,,,AGGREKO ARGENTINA SRL,,Ministerio de Energía y Minería,
ARG,Argentina,CT ECOENERGIA (PETROBRAS),13.2,-38.6871,-62.3961,Coal,,,,,PETROBRAS ARGENTINA S.A.,,Ministerio de Energía y Minería,
ARG,Argentina,CT ENSENADA DE BARRAGAN,567,-34.8597,-57.9557,Gas,,,,,ENARSA,,Ministerio de Energía y Minería,
ARG,Argentina,CT ESQUINA,16.5,-30.055,-59.5294,Oil,,,,,SOENERGY ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT FORMOSA II,30,-26.1764,-58.2094,Oil,,,,,APR ENERGY SRL,,Ministerio de Energía y Minería,
ARG,Argentina,CT GENERAL VILLEGAS,23.49,-35.0347,-62.9981,Oil,,,,,AGGREKO ARGENTINA SRL,,Ministerio de Energía y Minería,
ARG,Argentina,CT GOYA,13,-29.1583,-59.2728,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT INDEPENDENCIA,120,-26.8666,-65.2247,Gas,,,,1995,GENERACION INDEPENDENCIA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT INGENIERO JUAREZ,4,-23.9078,-61.8342,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT INTA CATAMARCA,7.04,-28.4733,-65.7275,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT ISLA VERDE,24.5,-33.2425,-62.395,Oil,,,,,AGGREKO ARGENTINA SRL,,Ministerio de Energía y Minería,
ARG,Argentina,CT JUAN JOSE CASTELLI,15,-25.9564,-60.6204,Oil,,,,,AGGREKO ARGENTINA SRL,,Ministerio de Energía y Minería,
ARG,Argentina,CT JUNIN,22,-34.5708,-60.9161,Oil,,,,,SOENERGY ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT LA PLATA,40.4,-34.9344,-58.016,Oil,,,,,SULLAIR ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT LA RIOJA DELIVERY,19.2,-29.3811,-66.8325,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT LA RIOJA SUR,10,-29.3808,-66.8319,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT LAGUNA BLANCA,7,-25.1286,-58.2597,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT LAS ARMAS,10.4,-37.0781,-57.8181,Gas,,,,,GENNEIA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT LAS ARMAS II,23.37,-37.0781,-57.8181,Gas,,,,,GENNEIA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT LAS PALMAS,6,-27.0289,-58.6997,Oil,,,,,TURBODISEL SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT LIBERTADOR GENERAL SAN MARTIN,15,-40.8421,-68.0869,Oil,,,,,SULLAIR ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT LINCOLN,15.002,-34.8578,-61.5206,Oil,,,,,SOENERGY ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT LOBOS,15.686,-35.1917,-59.0808,Oil,,,,,SULLAIR ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT MAGDALENA,25,-35.1001,-57.4839,Oil,,,,,APR ENERGY SRL,,Ministerio de Energía y Minería,
ARG,Argentina,CT MATHEU,41,-34.3931,-58.8372,Gas,,,,,GENNEIA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT MEDANITOS (RINCON DE LOS SAUCES),32,-37.4102,-68.9,Oil,,,,,MEDANITO SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT MIRAMAR I,20,-38.2472,-57.8242,Oil,,,,,ENERGYST RENTAL SOLUTIONS ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT OLAVARRIA,38.8,-36.9439,-60.2361,Gas,,,,,GENNEIA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT ORAN,15,-23.1258,-64.3069,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT PARANA,40,-31.7764,-60.4553,Gas,,,,,GENNEIA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT PARQUE INDUSTRIAL CATAMARCA,15,-28.5339,-65.7997,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT PASO DE LA PATRIA,7.2,-27.3236,-58.5667,Oil,,,,,TURBODISEL SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT PEHUAJO,22.4,-35.8336,-61.8758,Oil,,,,,SOENERGY ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT PINAMAR,21,-37.0953,-56.8789,Gas,,,,,GENNEIA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT PIRANE,16.25,-25.6786,-59.0756,Oil,,,,,SULLAIR ARGENTINA SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT PLUSPETROL NORTE,246,-26.9955,-65.166,Gas,,,,2002.5,GENERADORA ELÉCTRICA TUCUMÁN SA,,Ministerio de Energía y Minería,
ARG,Argentina,CT RAFAELA,19.2,-31.2567,-61.5203,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT REALICO,24,-35.055,-64.2406,Oil,,,,,INDUSTRIAS JUAN F. SECCO,,Ministerio de Energía y Minería,
ARG,Argentina,CT ROCA,130,-31.8919,-60.0106,Gas,,,,1995,CENTRAL TERMICA ROCA S.A.- ALBANESI S.A,,Ministerio de Energía y Minería,
ARG,Argentina,CT SAENZ PEÑA  I,20,-26.8156,-60.4114,Oil,,,,,APR ENERGY SRL,,Ministerio de Energía y Minería,
ARG,Argentina,CT SAENZ PEÑA  II,15,-26.8153,-60.4125,Oil,,,,,AGGREKO ARGENTINA SRL,,Ministerio de Energía y Minería,
