"ID","VIOLATION.LAST.MODIFIED.DATE","VIOLATION.DATE","VIOLATION.CODE","VIOLATION.STATUS","VIOLATION.STATUS.DATE","VIOLATION.DESCRIPTION","VIOLATION.LOCATION","VIOLATION.INSPECTOR.COMMENTS","VIOLATION.ORDINANCE","INSPECTOR.ID","INSPECTION.NUMBER","INSPECTION.STATUS","INSPECTION.WAIVED","INSPECTION.CATEGORY","DEPARTMENT.BUREAU","ADDRESS","STREET.NUMBER","STREET.DIRECTION","STREET.NAME","STREET.TYPE","PROPERTY.GROUP","SSA","LATITUDE","LONGITUDE","LOCATION"
6899219,"01/13/2023",2023-01-13,"CN079014","OPEN","","REPAIR/REBUILD GARAGE OR SHED","OTHER   :    :OTHER","REAR / GARAGE - RAFFTERSAND EAVES ROTTED .","Failed to maintain garage in sound condition and repair.  (13-196-530, 13-196-641)","87296",13909723,"FAILED","N","COMPLAINT","CONSERVATION","4448 S LECLAIRE AVE",4448,"S","LECLAIRE","AVE",317378,NA,41.811491697,-87.750747846,"(41.81149169707561, -87.75074784575263)"
6899214,"01/13/2023",2023-01-13,"CN076014","OPEN","","PROVIDE GUTTER & DOWNSPOUT","OTHER   :    :OTHER","EAST AND SOUTH ELEVATION / DOWNSPOUT - MISSING","Install and connect roof gutter and downspout to sanitary sewer. (13-168-600)","87296",13909723,"FAILED","N","COMPLAINT","CONSERVATION","4448 S LECLAIRE AVE",4448,"S","LECLAIRE","AVE",317378,NA,41.811491697,-87.750747846,"(41.81149169707561, -87.75074784575263)"
6899596,"01/14/2023",2023-01-14,"CN106015","OPEN","","REPAIR INTERIOR STAIR SYSTEM","INTERIOR:001 :","MISSING BASEMENT STAIR HANDRAIL","Failed to maintain interior stairway system in safe condition and sound repair. (13-196-570)","BL00904",13910005,"FAILED","N","COMPLAINT","CONSERVATION","6129 S CAMPBELL AVE",6129,"S","CAMPBELL","AVE",366483,NA,41.781993315,-87.686017121,"(41.78199331514315, -87.68601712114162)"
6899536,"01/14/2023",2023-01-14,"CN073014","OPEN","","REPAIR EXTERIOR DOOR","OTHER   :    :OTHER","EAST ELEVATION / EXTERIOR DOOR - ROTTED","Failed to maintain exterior door in sound condition and repair.  (13-196-550(d) and (e), 13-196-641)","87296",13909970,"FAILED","N","COMPLAINT","CONSERVATION","7250 S SOUTH SHORE DR",7250,"S","SOUTH SHORE","DR",20422,NA,41.764483704,-87.561210619,"(41.764483704432415, -87.56121061917585)"
6899498,"01/14/2023",2023-01-14,"CN104035","OPEN","","MAINTAIN WINDOW","OTHER   :    :OTHER","EAST AND SOUTH ELEVATION / WINDOWS - BOARD UP","Failed to maintain windows in sound condition and good repair.  (13-196-550(b) and (f))","87296",13909966,"FAILED","N","COMPLAINT","CONSERVATION","11814 S PRINCETON AVE",11814,"S","PRINCETON","AVE",530222,NA,41.679275564,-87.630051558,"(41.6792755635328, -87.63005155785294)"
6897712,"01/10/2023",2023-01-10,"CN063014","OPEN","","CHIMNEY","EXTERIOR:S   :","CHIMNEYS  - FRACTURES,LOOSE AND ERODED MORTAR","Failed to maintain chimney in safe and sound working condition.  (13-196-590, 13-196-530(b) and (c), 13-196-641)","BL00904",13908320,"FAILED","N","COMPLAINT","CONSERVATION","639 N ST LOUIS AVE",639,"N","ST LOUIS","AVE",40519,NA,41.893032946,-87.713653645,"(41.893032946226164, -87.71365364492681)"
6898308,"01/11/2023",2023-01-11,"CN190029","OPEN","","ARRANGE FOR REINSPECTION REGAR","INTERIOR:001 :","INTERIOR OF BUILDING OR YARD , NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.","pending notice reinspection","BL00904",13908861,"FAILED","N","COMPLAINT","CONSERVATION","5555 W CONGRESS PKWY",5555,"W","CONGRESS","PKWY",252254,NA,41.87372851,-87.763731753,"(41.873728510460076, -87.76373175274865)"
6898120,"01/11/2023",2023-01-11,"PL151137","OPEN","","OPEN","","","","290668",13872991,"FAILED","N","PERMIT","PLUMBING","4217 W ARTHINGTON ST",4217,"W","ARTHINGTON","ST",259232,NA,41.869848462,-87.730888717,"(41.86984846164206, -87.73088871698447)"
6898761,"01/12/2023",2023-01-10,"EV1110","OPEN","","MAINTAIN OR REPAIR ELECT ELEVA","","CLEAN ELEVATOR PIT.","Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","541348",13678656,"FAILED","N","PERIODIC","ELEVATOR","5427 N BROADWAY",5427,"N","BROADWAY","",12029,26,41.980801718,-87.659843905,"(41.98080171783289, -87.65984390503488)"
6901231,"01/19/2023",2023-01-18,"EV1430","OPEN","","NONCOMPLIANT MATERIAL HOIST","","REPAIR STOP SWITCH","Failed to design and maintain material hoist in conformance with Safety Requirements for Material Hoists ANSI A10.5-1981. (13-124-290, 13-196-590, 13-196-630(b))","425425",13911622,"FAILED","N","PERIODIC","ELEVATOR","745 W 103RD ST",745,"W","103RD","ST",570704,45,41.706814563,-87.642180228,"(41.70681456300081, -87.64218022817927)"
6899901,"01/11/2023",2023-01-11,"CN138106","OPEN","","STOP/REMOVE NUISANCE","EXTERIOR:W   :","ABANDONED VEHICLE IN REAR YARD","Remove and stop nuisance. (7-28-060)","BL01000",13910399,"FAILED","N","COMPLAINT","CONSERVATION","5754 S WABASH AVE",5754,"S","WABASH","AVE",344408,NA,41.789469259,-87.62410189,"(41.789469259143935, -87.6241018903924)"
6900085,"01/12/2023",2023-01-12,"CN104055","OPEN","","REPUTTY WINDOW PANES","EXTERIOR:S   :","WINDOW TRIM - ROTTING; PAINT PEELING","Failed to retrim or reputty window panes.  (13-196-550)","BL01000",13910465,"FAILED","N","COMPLAINT","CONSERVATION","12019 S LA SALLE ST",12019,"S","LA SALLE","ST",535781,NA,41.675594757,-87.626050421,"(41.67559475694751, -87.62605042111355)"
6900638,"01/18/2023",2023-01-18,"CN190019","OPEN","","ARRANGE PREMISE INSPECTION","OTHER   :    :OTHER","INTERIOR OF BUILDING - NO RESPOSNE, UNVERIFIED DETECTORS AND CONDITIONS.","Arrange for inspection of premises. (13-12-100)","371335",13911133,"FAILED","N","COMPLAINT","CONSERVATION","7237 S HERMITAGE AVE",7237,"S","HERMITAGE","AVE",411728,NA,41.761945662,-87.667233319,"(41.76194566174284, -87.66723331917721)"
6900398,"01/18/2023",2023-01-18,"CN077014","OPEN","","REPAIR FENCE","EXTERIOR:W   :","WEST ELEVATION - LEANING FENCE AND POSTS AT ALLEY.","Failed to maintain fence in good condition and repair.  (7-28-060, 13-196-630, 13-196-641)","BL00904",13910864,"FAILED","N","COMPLAINT","CONSERVATION","816 N LEAMINGTON AVE",816,"N","LEAMINGTON","AVE",54572,NA,41.895505015,-87.754539519,"(41.895505014763415, -87.75453951929387)"
6900558,"01/18/2023",2023-01-18,"CN135016","OPEN","","MICE/RODENTS","OTHER   :    :OTHER","HOUSE INFESTED WITH MICE.","Exterminate rodents in building and seal openings through which they gain access. (13-196-530 D, 13-196-630 C, 7-28-660)","BL00831",13911062,"FAILED","N","COMPLAINT","CONSERVATION","10537 S LAFAYETTE AVE",10537,"S","LAFAYETTE","AVE",503453,NA,41.702438541,-87.62443149,"(41.7024385408648, -87.62443149027439)"
6900944,"01/18/2023",2023-01-18,"CN104055","OPEN","","REPUTTY WINDOW PANES","EXTERIOR:S   :","SOUTH, WEST ELEVATIONS/WINDOW TRIM - ROTTING IN SOME AREAS; PAINT PEELING THROUGHOUT","Failed to retrim or reputty window panes.  (13-196-550)","BL01000",13911421,"FAILED","N","COMPLAINT","CONSERVATION","4355 S SAWYER AVE",4355,"S","SAWYER","AVE",18224,39,41.813871713,-87.705281216,"(41.813871712794324, -87.70528121645657)"
6901190,"01/19/2023",2023-01-19,"CN105035","OPEN","","REPAIR DOOR HARDWARE","INTERIOR:001 :","APT 1E AND 2E- MISSING DOOR HARDWARE","Repair or replace door hardware. (13-196-550)","BL00904",13911610,"FAILED","N","COMPLAINT","CONSERVATION","4355 W LE MOYNE ST",4355,"W","LE MOYNE","ST",65734,NA,41.907523558,-87.736044758,"(41.90752355846601, -87.73604475795639)"
6901223,"01/19/2023",2023-01-19,"CN063014","OPEN","","CHIMNEY","OTHER   :    :OTHER","CHIMNEY- SPALLED BRICKS,WASHED OUT MORTAR.","Failed to maintain chimney in safe and sound working condition.  (13-196-590, 13-196-530(b) and (c), 13-196-641)","BL00708",13911618,"FAILED","N","COMPLAINT","CONSERVATION","3643 N ODELL AVE",3643,"N","ODELL","AVE",159922,NA,41.946420258,-87.810550817,"(41.946420257779494, -87.81055081714537)"
6901286,"01/19/2023",2023-01-19,"CN077014","OPEN","","REPAIR FENCE","OTHER   :    :OTHER","FRONT/ WOODEN FENCE- LEANING OUT 1FT AND POST ROTTED.","Failed to maintain fence in good condition and repair.  (7-28-060, 13-196-630, 13-196-641)","87296",13911707,"FAILED","N","COMPLAINT","CONSERVATION","8243 S ARTESIAN AVE",8243,"S","ARTESIAN","AVE",441477,NA,41.743320653,-87.683823335,"(41.74332065316512, -87.68382333479887)"
6901352,"01/19/2023",2023-01-19,"CN062024","OPEN","","PARAPET","OTHER   :    :OTHER","NORTH PARAPET WALL - WASHED OUT MORTAR (EAST END).","Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641)","BL00831",13911736,"FAILED","N","COMPLAINT","CONSERVATION","6811 S LANGLEY AVE",6811,"S","LANGLEY","AVE",393197,NA,41.770909829,-87.608019737,"(41.77090982928038, -87.60801973688152)"
6902151,"01/12/2023",2023-01-12,"CN105015","OPEN","","REPAIR DOOR, INT.","OTHER   :    :OTHER","INTERIOR OF BUILDING - 5TH FL - METAL DOOR TO FIRE ESCAPE /DOOR - RUSTED AND NOT OPENING AND CLOSING PROPERLY.","Repair or replace defective door. (13-196-550)","455370",13912282,"FAILED","N","COMPLAINT","CONSERVATION","1209 W SHERWIN AVE",1209,"W","SHERWIN","AVE",13955,NA,42.014937992,-87.663111134,"(42.01493799159823, -87.66311113387543)"
6907434,"01/30/2023",2023-01-13,"EL1884","OPEN","","SEE INSPECTOR COMMENTS","","NO SHOW FOR SCHEDULED INSPECTION 14A-5-501.1 CONTRACTOR WAS EMAILED WITH DATE OF INSPECTION. CONTRACTOR WAS CALLED THE MORNING OF INSPECTION.","","74199",13909916,"FAILED","N","PERMIT","ELECTRICAL","3600 W SHAKESPEARE AVE",3600,"W","SHAKESPEARE","AVE",6976,NA,41.920137979,-87.716971974,"(41.9201379786438, -87.71697197414618)"
6904127,"01/25/2023",2023-01-19,"EL1819","OPEN","","DEFECTIVE FIXTURES","","DAMAGED LIGHT FIXTURES VARIOUS AREAS THROUGHOUT PREMISES REPAIR/REPLACE WHERE REQUIRED","Replace defective light fixtures. (14E-4-410.20, 14E-4-410.21, 14E-4-410.22, 14E-4-410.23)","398921",13913988,"FAILED","N","COMPLAINT","SPECIAL TASK FORCE","7432 S RACINE AVE",7432,"S","RACINE","AVE",410703,NA,41.758643529,-87.654093887,"(41.75864352890194, -87.65409388721017)"
6903928,"01/25/2023",2023-01-19,"CN046013","OPEN","","UNAPPROVED HEATING DEVICE","","SPACE HEATERS BEING USED THROUGHOUT PROPERTY AS 2ND MEANS OF HEAT (14X-8-802.2)","Stop using cooking or water heating device as heating device. (13-196-400)","398921",13913988,"FAILED","N","COMPLAINT","SPECIAL TASK FORCE","7432 S RACINE AVE",7432,"S","RACINE","AVE",410703,NA,41.758643529,-87.654093887,"(41.75864352890194, -87.65409388721017)"
6904072,"01/25/2023",2023-01-19,"EL1836","OPEN","","PANEL SCHEDULES","","INSUFFICIENT PANEL SCHEDULE MAIN ELECTRICAL SERVICE","Provide detailed and legible panel schedules.(14E-4-408.4(a))","398921",13913988,"FAILED","N","COMPLAINT","SPECIAL TASK FORCE","7432 S RACINE AVE",7432,"S","RACINE","AVE",410703,NA,41.758643529,-87.654093887,"(41.75864352890194, -87.65409388721017)"
6901097,"03/27/2024",2023-01-19,"CN077024","COMPLIED","02/29/2024","NO BARBED WIRE ON FENCE < 8FT","OTHER   :    :OTHER BL00876","SOUTH ELEVATION / BARBED WIRE - REMOVE","Failed to remove barbed wire from fence less than eight feet in height.  (13-96-160)","87296",13911559,"FAILED","N","COMPLAINT","CONSERVATION","217 W 72ND ST",217,"W","72ND","ST",20457,NA,41.763489251,-87.630469302,"(41.763489250804184, -87.63046930245876)"
6908284,"01/31/2023",2023-01-17,"CN104035","OPEN","","MAINTAIN WINDOW","","ROTTED WINDOW FRAMES ALL ELEVATIONS (14X-3-303.13)","Failed to maintain windows in sound condition and good repair.  (13-196-550(b) and (f))","398921",13942471,"FAILED","N","COMPLAINT","SPECIAL TASK FORCE","6200 S INDIANA AVE",6200,"S","INDIANA","AVE",359956,NA,41.781840836,-87.620766824,"(41.781840835922665, -87.6207668239074)"
6901100,"03/27/2024",2023-01-19,"CN077024","COMPLIED","03/27/2024","NO BARBED WIRE ON FENCE < 8FT","OTHER   :    :OTHER","SOUTH ELEVATION / BARBED WIRE - REMOVE","Failed to remove barbed wire from fence less than eight feet in height.  (13-96-160)","BL00876",13911560,"CLOSED","N","COMPLAINT","CONSERVATION","217 W 72ND ST",217,"W","72ND","ST",20457,NA,41.763489251,-87.630469302,"(41.763489250804184, -87.63046930245876)"
6900046,"09/06/2023",2023-01-12,"CN102015","COMPLIED","09/06/2023","INT WALL/CEILING PEELING PAINT","INTERIOR:001 :","APT. #817-108 - HALLWAY, BEDROOM, BATHROOM, CLOSETS - SEVERE WATER DAMAGE; WATER STAINS ON WALLS AND CEILINGS THROUGHOUT","Failed to maintain interior walls, ceilings and woodwork free from flaking, peeling, chipped or loose paint.  (13-196-540(d))","BL00876",13910449,"CLOSED","N","COMPLAINT","CONSERVATION","817 E 46TH ST",817,"E","46TH","ST",18139,47,41.811253514,-87.605861237,"(41.811253514406, -87.60586123694011)"
6903304,"07/24/2023",2023-01-19,"CN065014","COMPLIED","07/24/2023","REPAIR LINTELS","OTHER   :    :OTHER","FRONT ELEVATION /LINTELS AT GRADE - RUSTED AND WAVY. PLANS AND PERMIT REQUIRED FOR LINTEL REPLACEMENT OVER 6FT. ALL WORK SUBJECT TO FIELD INSPECTION AND APPROVAL.","Failed to maintain lintel in good repair and free from cracks and defects.  (13-196-530(e), 13-196-641)","451988",13913485,"PASSED","N","COMPLAINT","CONSERVATION","5108 W NORTH AVE",5108,"W","NORTH","AVE",6079,NA,41.909645538,-87.753029308,"(41.90964553792518, -87.75302930813363)"
6912513,"02/08/2023",2023-01-19,"CN190019","OPEN","","ARRANGE PREMISE INSPECTION","","NO ENTRY TO 2ND FLOOR DWELLING UNIT UNVERIFIED OCCUPANCY, DETECTORS AND LIVING CONDITIONS 14A-1-104.7","Arrange for inspection of premises. (13-12-100)","293822",13945914,"FAILED","N","COMPLAINT","SPECIAL TASK FORCE","2238 S KEELER AVE",2238,"S","KEELER","AVE",281663,NA,41.850258899,-87.729705293,"(41.85025889855236, -87.72970529285455)"
6912542,"02/08/2023",2023-01-19,"EL1801","OPEN","","DEFECTIVE SERVICE","","RESTORE POWER TO UNIT 2 WHICH IS OFF DUE TO COMED SHUTOFF","Replace defective service. ( 14E-2-230)","293822",13945914,"FAILED","N","COMPLAINT","SPECIAL TASK FORCE","2238 S KEELER AVE",2238,"S","KEELER","AVE",281663,NA,41.850258899,-87.729705293,"(41.85025889855236, -87.72970529285455)"
6912541,"02/08/2023",2023-01-19,"PL158017","OPEN","","VENT SYSTEM TO PRVNT BACK PRES","","NO INDIVIDUAL VENTING PIPING FOR FIXTURES FIRST FLOOR","Ventilate plumbing system to prevent trap siphonage and back pressure. (18-29-901)","293822",13945914,"FAILED","N","COMPLAINT","SPECIAL TASK FORCE","2238 S KEELER AVE",2238,"S","KEELER","AVE",281663,NA,41.850258899,-87.729705293,"(41.85025889855236, -87.72970529285455)"
6900045,"09/06/2023",2023-01-12,"CN061034","COMPLIED","09/06/2023","FLAKY INTERIOR PAINT","INTERIOR:001 :","APT. #817-108 - HALLWAY, BEDROOM, BATHROOM, CLOSETS - SEVERE WATER DAMAGE; PAINT BUBBLING THROUGHOUT","Failed to maintain all interior walls, ceilings and interior woodwork free of flaking, peeling, chipped or loose paint, plaster or structural material.  (13-196-540(d), 13-196-641)","BL00876",13910449,"CLOSED","N","COMPLAINT","CONSERVATION","817 E 46TH ST",817,"E","46TH","ST",18139,47,41.811253514,-87.605861237,"(41.811253514406, -87.60586123694011)"
6900047,"09/06/2023",2023-01-12,"CN031013","COMPLIED","09/06/2023","FIRE EXTNGSHR REQ, RESDNTL","INTERIOR:001 :","#817/INTERIOR STAIRWELL - FIRE EXTINGUISHERS TAGGED 2021","Failed to install approved fire extinguishers on every floor of residential building more than three stories in height and having floor area exceeding 3,000 square feet.  (15-16-160, 15-16-640)","BL00876",13910449,"CLOSED","N","COMPLAINT","CONSERVATION","817 E 46TH ST",817,"E","46TH","ST",18139,47,41.811253514,-87.605861237,"(41.811253514406, -87.60586123694011)"
6900043,"09/06/2023",2023-01-12,"PL157047","COMPLIED","09/06/2023","STOP LEAKING WATER","INTERIOR:001 :","APT. #817-108 - HALLWAY, BEDROOM, BATHROOM, CLOSETS - SEVERE WATER DAMAGE; WATER LEAKING AT CEILINGS AND DWON WALLS; LARGE HOLE AT CEILING INSIDE BEDROOM CLOSET","Stop leaking water.  (18-29-102.3)","BL00876",13910449,"CLOSED","N","COMPLAINT","CONSERVATION","817 E 46TH ST",817,"E","46TH","ST",18139,47,41.811253514,-87.605861237,"(41.811253514406, -87.60586123694011)"
6900048,"09/06/2023",2023-01-12,"CN015062","COMPLIED","09/06/2023","OBSTRUCTIONS IN EXIT WAY","INTERIOR:001 :","#819/INTERIOR STAIRWELL - INTERIOR DOORS, TREADMILL, BIKE, ETC. ON LANDINGS FROM 2ND TO 3RD FLOOR; OBSTRUCTING EXITWAY","Failed to remove obstruction from exitway that hampers travel and evacuation.  (13-160-070, 13-196-080)","BL00876",13910449,"CLOSED","N","COMPLAINT","CONSERVATION","817 E 46TH ST",817,"E","46TH","ST",18139,47,41.811253514,-87.605861237,"(41.811253514406, -87.60586123694011)"
6900044,"09/06/2023",2023-01-12,"CN101015","COMPLIED","09/06/2023","REPAIR INTERIOR WALLS/CEILING","INTERIOR:001 :","APT. #817-108 - HALLWAY, BEDROOM, BATHROOM, CLOSETS - SEVERE WATER DAMAGE; WATER LEAKING AT CEILINGS AND DWON WALLS; LARGE HOLE AT CEILING INSIDE BEDROOM CLOSET; WATER STAINS, BUBBLING PAINT, LOOSE,  CRACKED DRYWALL THROUGHOUT","Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c))","BL00876",13910449,"CLOSED","N","COMPLAINT","CONSERVATION","817 E 46TH ST",817,"E","46TH","ST",18139,47,41.811253514,-87.605861237,"(41.811253514406, -87.60586123694011)"
7143393,"04/03/2024",2023-01-18,"CN065014","OPEN","","REPAIR LINTELS","OTHER   :    :OTHER","7809 WEST ELEVATION /BASEMENT LINTEL -OVER 8FT LONG RUSTED AND BENT . PLANS AND PERMIT REQUIRED TO REPLACE LINTEL","Failed to maintain lintel in good repair and free from cracks and defects.  (13-196-530(e), 13-196-641)","BL01000",14318877,"CLOSED","N","COMPLAINT","CONSERVATION","7805 S ESSEX AVE",7805,"S","ESSEX","AVE",20626,49,41.753376246,-87.563690641,"(41.75337624614579, -87.56369064144108)"
7143397,"04/03/2024",2023-01-18,"CN062034","OPEN","","REPAIR COPING","OTHER   :    :OTHER","COURT YARD /CENTER COPING  -OPEN MORTAR JOINT","Failed to maintain roof coping in good repair and free from cracks defects.  (13-196-530, 13-196-530(c) and 13-196-641)","BL01000",14318877,"CLOSED","N","COMPLAINT","CONSERVATION","7805 S ESSEX AVE",7805,"S","ESSEX","AVE",20626,49,41.753376246,-87.563690641,"(41.75337624614579, -87.56369064144108)"
7143396,"04/03/2024",2023-01-18,"CN070014","OPEN","","REPAIR EXTERIOR STAIR","OTHER   :    :OTHER","FRONT COURT YARD / EXTERIOR STAIR - WING WALL WASHED OUT MORTAR .","Failed to maintain exterior stairways in safe condition and in sound repair.  (13-196-570, 13-196-641)","BL01000",14318877,"CLOSED","N","COMPLAINT","CONSERVATION","7805 S ESSEX AVE",7805,"S","ESSEX","AVE",20626,49,41.753376246,-87.563690641,"(41.75337624614579, -87.56369064144108)"
7143399,"04/03/2024",2023-01-18,"CN190019","OPEN","","ARRANGE PREMISE INSPECTION","OTHER   :    :OTHER","NO ENTRY TO INSP FOR CONDIONS AND DETECTORS","Arrange for inspection of premises. (13-12-100)","BL01000",14318877,"CLOSED","N","COMPLAINT","CONSERVATION","7805 S ESSEX AVE",7805,"S","ESSEX","AVE",20626,49,41.753376246,-87.563690641,"(41.75337624614579, -87.56369064144108)"
7143395,"04/03/2024",2023-01-18,"CN077014","OPEN","","REPAIR FENCE","OTHER   :    :OTHER","WEST ELEVATION / IRON FENCE - 80 X5FT 8 INCHES RUSTED. WEST ELEVATION IRON FENCE AND POST  15X5FT 8 INCHES TALL  BOTTOM RAIL RUSTED THROUGH. PERMIT REQUIRED TO REPAIR FRONT FENCE","Failed to maintain fence in good condition and repair.  (7-28-060, 13-196-630, 13-196-641)","BL01000",14318877,"CLOSED","N","COMPLAINT","CONSERVATION","7805 S ESSEX AVE",7805,"S","ESSEX","AVE",20626,49,41.753376246,-87.563690641,"(41.75337624614579, -87.56369064144108)"
