Season,Episode,Character,Line
01,01,Barney,"Marshall, I'm going to get you an early wedding present. Don't get married."
01,01,Robin,"I think I like your ""Olive Theory""."
01,01,Ted,I think I like your French Horn.
01,01,Robin,I think I like your nose.
01,01,Ted,I think I'm in love with you.
01,01,Barney,rshall and Barney: What?
01,01,Robin,What?
01,01,Barney,"Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it."
01,01,Marshall,"Yeah, I'm scared, okay? But when I think about spending the rest of my life with Lily... committing forever, no other women (Lily appears behind Marshall in the open window) doesn't scare me at all. I'm marrying that girl. (Lily pops her head in from the window. Marshall turns around) Lily. Lily, I like olives."
01,01,Lily,We'll make it work. (They kiss.)
01,01,Ted,"So Orlando, you goanna hit Disney World?"
01,01,Robin,You love me?
01,01,Ted,"Oh, god, I can't believe I said that. Why did I say that? Who says that? I should just go. (Gets up)"
01,01,Robin,Hold on. (Gets up) Wait a minute. (Hands him Olives) Promised you these.
01,01,Ted,Olives. Thanks. I love you. What's wrong with me?
01,01,Barney,"Why are we still sitting here? Let's go! We can still make last call. What do you say Lil? (Pirate Accent) Yo, ho ho and a bottle o' rum? (Silence) 'Cuz you're a pirate..."
01,01,Lily,"Okay, eye patch gone-(takes eye patch off and throws it at Barney) And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support."
01,01,Marshall,It's been like twenty minutes. You think they're doin' it?
01,01,Barney,You think they're doing it in front of the dogs?
01,01,Marshall,Doggie style. (Laughs)
01,01,Barney,I had this girl in college; she had a golden retriever-
01,01,Lily,"Okay, we can go to the bar, just stop talking."
01,01,Barney,Hit it Ranjit. (They drive off)
01,01,Ted,"So when you tell this story to your friends, could you avoid the word ""psycho""? I prefer...eccentric."
01,01,Robin,"Good night, psycho (smiles). (Ted sarcastically clutches heart. Realizes friends left him)"
01,01,Ted,Great (before Robin closes the door) Umm... how do I get to the F Train?
01,01,Robin,"Oh, um-two blocks (comes out) that way (points) and take a right."
01,01,Ted,"(upset/tired) Thanks. (Walks down the steps. Robin begins to walk in) You know what? (Robin stops. Ted turns around). I'm done being single. I'm not good at it. Look, obviously you can't tell a woman you just met you love her. But... it sucks that you can't. I'll tell you something though, if a woman-not you... just some hypothetical woman-were to bare with me through all this. I think I'd make a damn good husband. Because that's the stuff I'd be good at. Stuff like making her laugh and being a good father... and walking her five hypothetical dogs. Being a good kisser."
01,01,Robin,Everyone thinks they're a good kisser.
01,01,Ted,"Oh, I've got references."
01,01,Robin,"Good night, Ted. (Shake hands.)"
01,01,Ted,And I'm a good hand shaker
01,01,Robin,that's a pretty great hand shake. (Looks him in the eyes)
01,01,Ted,"And that was it, probably never see her again. (Silence) What?"
01,01,Marshall,That was the signal!
01,01,Lily,That long lingering handshake-you should've kissed her!
01,01,Barney,There's no such thing as the signal. But yeah-that was the signal.
01,01,Ted,Carl!? (turns to friends) You guys weren't there.
01,01,Lily,I am so turned on right now.
01,01,Ted,"Guys, trust me. I've seen the signal. That was not the signal."
01,01,Barney,"Yeah Ted, we're not on you anymore."
01,01,Marshall,(Toasting) To my fiancé!
01,01,Lily,(smiles) to the future!
01,01,Ted,That was not the signal!
01,02,Barney,"I suggest we play a little game I like to call, ""Have you Met Ted?"""
01,02,Ted,"No, no, no-we're not playing ""Have you Met Ted!"""
01,02,Barney,(Taps Robin's shoulder) Hi! Have you met Ted? (Leaves)
01,02,Ted,I think I'm in love with you.
01,02,Robin,What?
01,02,Marshall,"So you're not goanna call her? You went from, ""I think I'm in love with you"" to ""I'm not gonna call her?"""
01,02,Ted,"I wasn't in love with her, okay? I was briefly in love with the abstract idea of getting married! That had absolutely nothing to do with Robin. (Finds Lily and Robin chatting at a table.) Robin!"
01,02,Robin,Hey!
01,02,Lily,Look who I ran into!
01,02,Ted,Since when do you guys know each other?
01,02,Robin,"Uh... since about (points to glass) here. Lily recognized me from the news and-(Lily and Marshall kiss) Hello, Sailor!"
01,02,Ted,They just got engaged.
01,02,Robin,"Well, I should get back to the station. See you guys. (Marshall raises a hand while still kissing Lily) Nice seeing you, Ted."
01,02,Ted,"Yeah, you too. (Robin leaves, Barney walks closer) Damn it."
01,02,Lily,What?
01,02,Ted,I'm in love with her.
01,02,Barney,(hits him) No! As your sponsor I will not let you relapse. You blew it; it's over-move on.
01,02,Ted,I don't know! I just have this feeling. She's the future Mrs. Ted Mosby.
01,02,Ted,"Lily, you squeaked?"
01,02,Ted,"She said something about me didn't she? Come on, spill it, Red."
01,02,Lily,Fine!
01,02,Lily,So what do we think of Ted?
01,02,Robin,(laughs) Ted's something else.
01,02,Ted,"Huh... I'm gonna spin that as good. Lots of guys are ""something"", I'm ""something else""."
01,02,Robin,Comes on a little strong.
01,02,Ted,But...that's part of my charm.
01,02,Lily,But that's part of his charm.
01,02,Robin,"Oh, totally. I mean, he's sweet, he's charming, he's just looking for something a little bit more serious than I am. I mean the most I can handle right now is something casual. This just stays between us, right?"
01,02,Lily,Are you kidding? This flapper-for knocks.
01,02,Lily,(shy) Oops...
01,02,Ted,"She wants casual. Okay, I'll be casual. I'm gonna be a mushroom cloud of casual. You know why? Cause it's a game! I wanted to skip to the end and do the ""happily ever after"" thing but you don't get there unless you play the game."
01,02,Marshall,So're you gonna ask her out?
01,02,Ted,"Yeah-No! I can't ask her out, because if I ask her out I'm asking her out. So how do I ask her out, without asking her out? (thinks)"
01,02,Lily,Did you guys get high?
01,02,Ted,I got it! I don't ask her out... I invite her to our party next Friday.
01,02,Marshall,We're having a party next Friday?
01,02,Ted,We are now-Casual
01,02,Barney,"Yeah, cuz nothing says ""Casual"" like inviting a hundred people over just to ""Mac"" on one girl. Oh, and Lily-that's my leg."
01,02,Lily,You waited five minutes to tell me that?
01,02,Marshall,Alright-so call her up!
01,02,Ted,"No-calling's not casual! I just gotta bump into her somewhere. If only I knew her schedule I could arrange a ""chance"" encounter."
01,02,Lily,"that's great, Ted. You'll be the most ""Casual"" stalker ever."
01,02,Marshall,"Baby, no. I have a twenty-five paged paper on unconstitutional law due on Monday, I barely started,"
01,02,Lily,"Hey, I'm just sitting here. Wearing my ring... my beautiful ring. Kind of makes wearing other stuff seem wrong. Like my shirt. Kind of don't wanna wear my shirt anymore. Or... my underwear. Oh-that's right-I'm not wearing any."
01,02,Marshall,(Closes laptop screen) No underwear?
01,02,Lily,Not slightly.
01,02,Ted,"Guys, boundaries! There she is!"
01,02,Robin,"(on TV) Thanks Bill, I'm reporting from the Razzle Dazzle Supermarket on 75th in Columbus"
01,02,Ted,75th in Columbus. (Gets up and grabs coat) Game on! (Leaves)
01,02,Robin,"where four year old, Leroy Ellensburg, climbed inside a grab a prize machine (You see child stuck in toy machine) and gotten stuck."
01,02,Robin,"And on the pursuit of a stuffed purple giraffe. (Ted appears behind her, leaves nervously) From Metro News One, I'm Robin Scherbatsky. (News report ends)"
01,02,Robin,(To cameraman) Thanks. (Notices Ted) Ted?
01,02,Ted,"(Turns around nonchalant) Robin, wow! What are the odds?"
01,02,Robin,What are you doing here?
01,02,Ted,"Oh, you know, just-uh-Shopping for-uh-dip (holds dip) I love dip... I mean I don't love dip, I like dip. As a friend, you know. So-uh-hey, you-uh-reporting a news story or something? (puts dip back)"
01,02,Robin,"Yeah, kid stuck in a crane machine, how sweet of you to call it news."
01,02,Ted,"Wow, kid in a crane machine (approached machine. To boy) You just had to have that toy didn't ya? Couldn't play the game like everyone else."
01,02,Ted,"Cute kid (wipes forehead) Um yeah it's f-it's so funny running into your we're having a party next Friday if-if you like swinging by! But, you know, whatever."
01,02,Robin,"Oh, I'm going back home next weekend. It's too bad it's not tonight."
01,02,Ted,"(Shocked) It is, it's tonight. This Friday, Did I say next Friday? Yeah-sorry-cuz I've been saying ""next Friday"" all week, but yeah it's tonight. The-uh-party's tonight. But, you know, whatever."
01,02,Marshall,Hello?
01,02,Ted,"(on Phone) hey, am I interrupting anything? (Holding party mixes)"
01,02,Marshall,"No, no I'm just writing my paper. Hitting the books."
01,02,Ted,"(on Phone) Yeah, well you and Lily might wanna put some clothes on. We're throwing a party in two hours. Okay, bye (hangs up)"
01,02,Marshall,"So, Gatsby, what are you goanna do when Robin shows up?"
01,02,Ted,"Okay, I got it all planned out."
01,02,Ted,"She steps through the door, and where's Ted? Not eagerly waiting by the door. Nah I'm across the room at my drafting table showing some foxy young thing all my cool architecture stuff. So Robin strolls over and I casually give her one of these, ""Hey, what's up?"" She says, ""Hey, nice place"" etcetera, etcetera. And then I say, ""Well make yourself at home,"" and I casually return to my conversation. Then, an hour later, ""Oh, you're still here?"" I say like I don't really care, but it's a nice surprise. And then very casually, ""Wanna see the roof?"""
01,02,Marshall,arshall: (Gloating) The roof.
01,02,Ted,Get her up to the roof and the roof takes care of the rest.
01,02,Barney,What's so special about the roof?
01,02,Lily,"Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof."
01,02,Marshall,We do it up there sometimes.
01,02,Barney,"Solid plan, my little friend."
01,02,Ted,We're the same height.
01,02,Barney,But may I suggest one little modification.
01,02,Barney,"That foxy young thing you were chatting up, take her up to the roof and have s*x with her! Crazy monkey-style."
01,02,Ted,That's not the plan.
01,02,Barney,"Should be the plan, I mean look at her. Ted, look at her. She's smokin'!"
01,02,Ted,"Yeah, but she's not Robin."
01,02,Barney,"Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?"
01,02,Ted,"Barney, I don't wanna say-"
01,02,Barney,"Aargh! (Pulls down imaginary scope) Scoping, beep, scoping, beep!"
01,02,Lily,Man you're a dork.
01,02,Barney,"beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call ""Have You Met Ted?"""
01,02,Ted,"No, come on not this."
01,02,Barney,(taps woman) Hi! Have you met Ted?
01,02,Ted,Hi.
01,02,Barney,Do you know Marshall? Lily?
01,02,Barney,"Hmm, do you know anyone at this party?"
01,02,Barney,"Excuse me, (to group) Anyone know a Carlos?"
01,02,Ted,No.
01,02,Lily,No.
01,02,Barney,On a silver platter! Bon appetite!
01,02,Ted,I don't think so.
01,02,Barney,"Your loss, her gain. (To Tatiana) Excuse me, can I show you the roof? It's magical up there!"
01,02,Ted,Whoa-whoa-Hey hey. I got that roof reserved!
01,02,Barney,"Dude, Robin's not coming."
01,02,Ted,"Hey, she's goanna show up. (Silence) She'll show up."
01,02,Lily,At least it was a great party.
01,02,Marshall,I ate like four whole cans of dip!
01,02,Ted,You always know what to say old friend.
01,02,Ted,It's Robin.
01,02,Lily,Answer it!
01,02,Ted,"No, no, no. Not right away. I gotta seem casual. (Answers phone) Hello?"
01,02,Robin,(on Phone) I'm so sorry I missed your party.
01,02,Ted,Who is this? Merideth?
01,02,Robin,(On Phone) Robin.
01,02,Ted,"Oh, Robin! Hey, yeah, guess you never showed up did you?"
01,02,Robin,"(on Phone) no I got stuck at work, but they finally got that kid out of the crane machine."
01,02,Ted,Did he get to keep the purple giraffe?
01,02,Robin,"(on Phone) Yeah, they let him keep all the toys. He was in there a long time and little kids have smaller bladders."
01,02,Ted,(scoffs)
01,02,Robin,(On Phone) I wish your party was tonight.
01,02,Ted,"It is the party's tonight. (Marshall's mad) Yeah-uh-it's a two day party. Because that's just how we roll. Uh-so if you wanna swing by its-uh-you know, Casual. See ya. (hangs up) So that was Robin."
01,02,Marshall,"What are you doing to me, man. I got a paper to write."
01,02,Ted,I know I'm sorry. It's terrible (grabs coat) I'll buy more dip (runs out)
01,02,Marshall,"TED! TED WAIT-GET FRENCH ONION. (Closes door) Can you believe this guy, I got a paper to write. (Lily smiles) Okay, fine-(they walk into the bedroom) but it's gotta be like super quick."
01,02,Lily,Oh!
01,02,Marshall,And no cuddling after.
01,02,Lily,I'm the luckiest girl alive (runs into bedroom. Marshall strips.)
01,02,Barney,"Oh, you were so right about the roof. The roof. The roof is on fire, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?"
01,02,Ted,I have no idea who that is.
01,02,Barney,"She said she works with Carlos, who's Carlos?"
01,02,Ted,I don't know any Carlos.
01,02,Barney,"Grr. (Turns around) Hi, you. You're back."
01,02,Barney,"""sweetie""? Really? (They walk into the kitchen Barney mouths) Sweetie?"
01,02,Ted,"Whoa-Whoa rabbits! Come on, I got that roof reserved."
01,02,Marshall,Alright.
01,02,Barney,"So, it's over between me-and-works with Carlos girl."
01,02,Ted,"Oh, that was fast."
01,02,Barney,"Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?"
01,02,Barney,I think I'm in love with you.
01,02,Barney,"Thanks, bro (walks away)"
01,02,Ted,(straight-faced) Glad I could help.
01,02,Ted,"What the-no, no, no, no-come on!"
01,02,Marshall,"Sorry, Ted. (Goes up)"
01,02,Ted,Great! What am I going to do when Robin shows up. (Silence) She'll show up.
01,02,Marshall,"Alright, we threw two parties. Everybody had fun. Everybody wanged, everybody chunged. Now the kid has got to get to work, and the kid is not to be disturbed. Repeat after me, ""I will not have s*x with Marshall""."
01,02,Ted,and Ted: I will not have s*x with Marshall.
01,02,Ted,It's Robin. (sighs. Answers) Hello?
01,02,Robin,"(on the Phone) Hi, Ted."
01,02,Ted,"Amanda? Oh, Denise-Sorry you totally sounded like Amanda (Does weird hand thing with Marshall)"
01,02,Robin,(On Phone) It's Robin.
01,02,Ted,"Oh, Robin-(laughs)-Hi."
01,02,Robin,(On Phone) I totally wanted to come; I got stuck at work again. I feel like I live there. I'm sorry I missed your party...again.
01,02,Ted,"Hey, ain't no thing but a chicken wing mamacita. (To Lily and Marshall) WHO AM I?"
01,02,Robin,(On Phone) I guess there's no change your two-dayer turned into a three-dayer.
01,02,Ted,"(Silence) It did indeed, the party continues tonight. (Marshall grabs for him, Ted runs away) Yeah. Last night people were like, ""KEEP IT GOIN' BRO! PARTY TRIFECTA!"""
01,02,Robin,"(On Phone) Wow, okay-well I'll be there."
01,02,Ted,"Great, see you tonight. (hangs up. Looks to Marshall) So that was Robin."
01,02,Barney,"Oh, this is lame."
01,02,Ted,"lame or ""Casual""?"
01,02,Barney,lame.
01,02,Ted,"Or ""Casual""?"
01,02,Lily,Hey little old books. Ready for a little fifteen minute recess?
01,02,Marshall,"Sorry, baby, I gotta work. I need all my blood (points to brain) up here. Has anybody seen an introduction to contract work institution statutes from 1865 to 1923? (Silence) Anybody seen a big-ass book?"
01,02,Barney,Of course.
01,02,Barney,Who? Who invited you? No one even know who you are!
01,02,Barney,Who is Carlos!?
