Brand,Product_Description,Screen_Size,RAM,Processor,GPU,GPU_Type,Resolution,Condition,Price
Lenovo,"Lenovo ThinkPad P51 15.6"" Laptop i7 NVIDIA 256GB SSD 16GB RAM Win 10 Pro (OC)",15.6,16,Intel Core i7 7th Gen.,NVIDIA Quadro M2200,Dedicated Graphics,1920 x 1080,Very Good - Refurbished,314.96
Dell,"New Dell Latitude 5440 256GB SSD, Intel Core i5 13th Gen 4.6GHz, 16GB Laptop",14,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,550.0
Dell,"Dell Latitude 5440 14"" Intel Core I5-1335U 16GB RAM 512GB SSD WIN 11 P WARRANTY",14,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,459.0
Asus,ASUS ROG Flow Z13 120Hz FHD+ i7 RTX 3050 16GB RAM 256GB SSD GZ301ZC-PS73,13.4,16,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 3050,Dedicated Graphics,1920 x 1200,Very Good - Refurbished,732.0
Dell,"Dell Latitude 5420 - i7-1185G7 3.0GHz QC 32GB 512GB SSD 14"" FHD Webcam W11P",14,32,Intel Core i7 11th Gen.,,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,429.0
Dell,"Dell laptop Latitude 7480 14"" i5 2.60GHz 16GB NEW 512GB SSD Win 11 Pro WIFI cam",14,16,Intel Core i5 6th Gen.,,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,219.99
Lenovo,"Lenovo ThinkPad L13 Gen 2 13.3"" Laptop i5 11th Gen 256GB SSD 8GB RAM Win 10 (OC)",13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,247.45
Asus,"ASUS 15.6"" Q530VJ- I73050 512GB SSD Intel Core i7 13th Gen 4.90 GHz 16GB Laptop",15.6,16,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 3050,Dedicated Graphics,1920 x 1080,Open box,699.0
Dell,"Dell 5500 15.6"" Touch Light Gaming Laptop Intel Core i5 4.10GHz 64GB RAM 2TB SSD",15.6,64,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,322.0
Dell,Dell Latitude 5500 Laptop PC Intel Core i5 4.10GHz 64GB RAM 2TB SSD Win 11 Pro,15.6,64,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,299.99
Dell,Dell Latitude 5414 Rugged 14” Laptop PC Core i5 8GB RAM 256GB SSD Windows 10 Pro,14,8,Intel Core i5 6th Gen.,Intel HD Graphics 520,Integrated/On-Board Graphics,1366 x 768,Very Good - Refurbished,319.99
Dell,"Dell Latitude laptop 7300 13.3"" FHD QC i7-8665U 16GB 256gb SSD Win 11 pro WIFI",13.3,16gb,Intel Core i7 8th Gen.,,Integrated/On-Board Graphics,,Excellent - Refurbished,229.99
Asus,"ASUS VivoBook 15.6” (512GB SSD, Intel Core i7-1255U, 4.70GHz, 16GB RAM, Intel...",15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,214.5
Asus,"ASUS Vivobook 15.6"" Laptop, i5-1235U, 16GB RAM, 512GB SSD,Wins 11 Home, Blue",15.6,16,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,365.0
Razer,Razer Blade 15 RZ09-02386 144Hz FHD 2.2 GHz i7-8750H 16GB RAM 512GB SSD GTX 1070,15.6,16,Intel Core i7 8th Gen.,NVIDIA GeForce GTX 1070,,1920 x 1080,Good - Refurbished,509.99
Lenovo,"Lenovo ThinkPad T480s 14"" Laptop i5 8th Gen 500GB NVME 16GB RAM Win 11 Pro FHD",14,16,Intel Core i5 8th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,279.99
HP,HP Elitebook Revolve 810 G3 Touch Intel i5-5300U 2.3GHz 8GB RAM 238 GB SSD READ!,11.6,8,Intel Core i5 5th Gen.,Intel HD Graphics,Dedicated Graphics,1366 x 768,Open box,119.99
HP,"HP PAVILION 14-ek0033dx X360 2-IN-1 14"" FULL HD TOUCH-SCREEN LAPTOP I5 512GB SSD",14,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,494.99
Dell,Dell Latitude 7400 Gaming Laptop PC Intel Core i7 4.2GHz 64GB RAM 2TB SSD Win 11,14,64,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,399.99
Dell,"Dell Latitude 5500 15.6"" FHD Quad-Core i5-8365U 16GB 512GB SSD Webcam Win 11 Pro",15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,,Very Good - Refurbished,237.99
Dell,"Dell 15.6"" NVIDIA Gaming Laptop - Intel Quad Core i7 64GB RAM 2TB SSD Windows 11",15.6,64,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Dedicated Graphics,1920 x 1080,Very Good - Refurbished,446.0
Microsoft,"Microsoft Surface Laptop Go 1943 12.4 inch, 128GB, Intel Core i5 10th Gen.",12.4,8,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1536 x 1024,New,299.0
HP,"HP Spectre X360 16"" 3K Touch 2-in-1 (Intel Core i7-12700H, 16GB, 512GB) 9.8/10",16,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,3072 x 1920,Open box,425.0
Lenovo,"Lenovo IdeaPad Slim 3 15IRU8 15.6"" Touch i3-1315U 8GB 256GB SSD Win11 82X7001VUS",15.6,8,Intel Core i3 13th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,269.0
Dell,"Dell Latitude 7400 14"" FHD i7-8665U 16GB 256gb SSD NVME Laptop WIN 11 pro WIFI",14,16gb,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,239.99
HP,"HP EliteBook 850 G6 15.6"" FHD i5-8265U 16GB Ram 256GB SSD Windows 11 Pro",15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,249.99
Lenovo,"New Lenovo ideapad 3i 14"" FHD Core i5-1155G7 16GB Ram 512GB SSD Webcam Win 11",14,16,Intel Core i5 11th Gen.,,Integrated/On-Board Graphics,,New,404.99
Asus,ASUS TUF Dash F15 Gaming Laptop (Core i7 12650H/16GB D5/RTX 3060/512GB/144Hz/FHD,15.6,16,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 3060,Dedicated Graphics,1920 x 1080,New,799.99
Lenovo,"Lenovo Legion 5 Pro 16"" Gaming Laptop i7-12700H, RTX3050 Ti, 16GB Ram, 512GB SSD",16,16,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 3050 Ti,Dedicated Graphics,2560 x 1600,New,899.99
HP,"HP 15.6"" FHD LED Laptop, i5-1135G7, Iris Xe Graphics, 8 RAM, 256GB SSD Win 11",15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,399.0
HP,"HP 15-dy5131wm Laptop, Intel i3 12th gen 8GB RAM 256GB SSD Fingerprint Reader",15.6,8,Intel Core i3 12th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1366 x 768,New,339.0
Dell,"New Dell Vostro 3520 Laptop 15.6"" FHD i5-1235U 16GB 512GB SSD Webcam Win 11 Pro",15.6,16,Intel Core i5 12th Gen.,,Integrated/On-Board Graphics,,New,499.0
HP,HP Envy X360 Convertible Laptop (15-es2050wm),15.6,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,,New,499.99
MSI,"MSI Modern 15 Core i9-13900H, 32GB RAM, 1TB SSD, 15.6"" Full HD Display, Win 11",15.6,32,Intel Core i9 13th Gen.,,,,New,799.99
Lenovo,"Lenovo ThinkPad x390 13.3"" FHD TOUCH 1.8 GHz i7-8565U 16GB 512GB SSD - Very Good",14.5,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,239.99
Dell,"Dell Inspiron 15 3520 15.6"" FHD Intel Core i7-1255U 16GB 1TB Carbon Black",15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,579.0
HP,"NEW HP EliteBook 14"" 840 G8 11th Gen Intel Core i5-1145G7 16GB DDR4 MSRP$1499",14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,,1920 x 1080,New,459.95
Lenovo,"Lenovo ThinkPad L13 Gen 2 13.3"" Laptop i5 11th Gen 512GB SSD 8GB RAM Win 10 (OC)",13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,269.95
HP,"HP Victus 15.6"" FHD AMD Ryzen 5 7535HS 8GB 512GB GeForce RTX 2050 15-fb1013dx",15.6,8,AMD Ryzen 5 7000 Series,NVIDIA GeForce RTX 2050,Dedicated Graphics,1920 x 1080,New,525.0
Microsoft,"Microsoft Surface Laptop,3 Touch Intel i5, Intel HD Graphics 620, 1. 6 GHz...",13.3,8,Intel Core i5 10th Gen.,Intel HD Graphics 620,Integrated/On-Board Graphics,2256 x 1504,Open box,291.46
Dell,"13.3"" Dell Latitude 5340 2-in-1 Intel Core i7-1365U 16GB 512GB SSD 3YR Warranty",13.3,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,515.0
Dell,"Dell Inspiron 15 3520 Laptop i5-1255U/256 GB SSD/8GB/15.6"" FHD 120Hz NEW",15.6,8,Intel Core i5 12th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,390.0
Asus,"ASUS Zenbook 14.5"" 2.8K 120Hz OLED Touch Laptop Intel i5-13500H/8GB/1TB New!!!",14.5,8,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2880 x 1800,New,629.0
HP,"HP Elitebook 850 G6 15.6"" 2018 FHD 1.6 GHz i5-8265U 16GB RAM 512GB SSD Very Good",15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,,1920 x 1080,Very Good - Refurbished,234.59
Dell,"Dell Latitude 5591 15.6"" 2018 FHD 2.3 GHz i5-8300H 8GB RAM 256GB SSD Very Good",15.6,8,Intel Core i5 8th Gen.,Intel UHD Graphics 630,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,152.99
Dell,"Dell Latitude 7280 12"" Intel i5 7th Gen 8GB RAM 256GB M.2 SSD WiFi Win 10 Laptop",12.5,8,Intel Core i5 7th Gen.,Intel HD Graphics 620,Integrated/On-Board Graphics,,Very Good - Refurbished,129.99
Microsoft,"Microsoft Surface Laptop 1 13.5"" FHD+ TOUCH 2.5 GHz i5-7200U 8GB RAM 256GB SSD",13.5,8,Intel Core i5 7th Gen.,Intel HD Graphics 620,,2256 x 1504,Excellent - Refurbished,160.99
Lenovo,"New Lenovo ThinkPad X13 Gen 1 13.3"" FHD i7-10510U 512GB SSD 16GB RAM NO OS",13.3,16,Intel Core i7 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,409.94
Dell,"Dell Latitude 7490 14"" Black 2018 FHD 1.6 GHz i5-8250U 16GB RAM 256GB SSD",14,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,,1920 x 1080,Very Good - Refurbished,159.99
Lenovo,"Lenovo ThinkPad E590 15.6"" FHD i7 8565U 8GB DDR4 256GB SSD Laptop",15.6,8,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Open box,349.99
Asus,"ASUS ROG Flow X13 13.4"" FHD Ryzen 9 7940HS 16GB DDR5 512GB SSD Laptop",13.4,16,AMD Ryzen 9 7000 Series,AMD Radeon Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,799.99
Lenovo,"Lenovo Ideapad 5 15.6"" Laptop Intel Core i7 12th Gen 16GB RAM 1TB SSD WIN 11H",15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,494.1
Dell,"Dell Latitude laptop 7300 13.3"" FHD QC i7-8665U 8GB 256gb SSD Win 11 pro WIFI",13.3,8gb,Intel Core i7 8th Gen.,,Integrated/On-Board Graphics,,Excellent - Refurbished,199.99
Microsoft,"Microsoft Surface Laptop 5 13.5"" Black 2022 2K TOUCH 2.5GHz i5-1245U 16GB 256GB",13.5,16,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2256 x 1504,Excellent - Refurbished,555.99
HP,"HP EliteBook 840 G5 14"" FHD Laptop i7 8th Gen 32gb 500gb SSD Win 11 Pro Cam",14,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,319.99
Apple,"Apple MacBook Pro 2018 15"" Laptop Computer i7, 32GB RAM, 256GB SSD, Sonoma macOS",15,32,Intel Core i7 8th Gen.,Intel Iris Graphics,Integrated/On-Board Graphics,2560 x 1600,Good - Refurbished,499.0
Lenovo,"Lenovo Thinkpad T14 Gen 2 i5-1145G7 @ 2.60GHz 16GB/256GB Win 11 Pro, Warranty",14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,419.0
HP,"HP Elitebook 840 G3 14"" Core i5 2.4GHz 8GB 256GB SSD FHD Webcam Win 11 Laptop",14,8,Intel Core i5 6th Gen.,Intel HD 520,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,139.99
Microsoft,"Microsoft Surface Laptop 5 15"" i7-1265U 16GB RAM 256GB SSD",15,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2256 x 1504,Open box,697.99
Lenovo,"Lenovo IdeaPad 3 17IRU7 17.3"" Intel Core i3-1315U, 8GB Memory, 512GB SSD Win 11",17.3,16,Intel Core i3 13th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,289.0
Microsoft,"Microsoft Surface Laptop Studio 14.4"" 512GB SSD 16GB Core i7 11th Gen",14.4,16,Intel Core i7 11th Gen.,NVIDIA GeForce RTX 3050 Ti,Dedicated Graphics,2400 x 1600,Open box,750.0
Dell,"Dell Latitude 5400 Chromebook 14"" FHD i5-8265U 8GB RAM 128GB SSD Chrome OS",14,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,New,194.0
Dell,"Dell Latitude 5440 14"" (512GB SSD Intel Core i5 13th Gen I5-1335U, 16GB RAM Open",14,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,519.99
Lenovo,Lenovo IdeaPad Slim 7 14ITL05 Notebook i5-1135G7 2.4GHz 8GB 512GB,14,8,Intel Core i5 11th Gen.,,,,Open box,310.25
Panasonic,Panasonic Toughbook CF-20 MK2 i5 16gb 256gb Dual Batt LTE 2D Laser FingerPrint,10.1,16,Intel Core i5 7th Gen.,Intel HD Graphics 615,Integrated/On-Board Graphics,1920 x 1200,Excellent - Refurbished,669.0
Dell,"Dell Latitude 7490 14"" Intel i5 8th Gen 16 GB RAM 240 GB SSD Win 10 Touchscreen",14,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,,Very Good - Refurbished,189.99
HP,HP Omen 16 2023 FHD 2.1 GHz i5-13420H 16GB 512GB SSD RTX 4050 Excellent,16,16,Intel Core i5 13th Gen.,NVIDIA GeForce RTX 4050,Dedicated Graphics,1920 x 1080,Excellent - Refurbished,699.99
Asus,"NEW ASUS ROG Flow X13 13.4"" WUXGA 2-in-1 Touch Laptop Ryzen 9 7940HS 16GB 512GB",13.4,16,AMD Ryzen 9 7000 Series,AMD Radeon Graphics,Integrated/On-Board Graphics,1920 x 1200,New,868.88
Microsoft,Microsoft Surface Laptop 4 i5-1145g7 2.6GHz 1GB 256GB,13,16GB,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,,New,559.0
LG,"LG Gram 17"" Grey 2020 QHD+ 1.3 GHz i7-1065G7 16GB RAM 512GB SSD Very Good",17,16,Intel Core i7 10th Gen.,Intel Iris Plus Graphics G7,Integrated/On-Board Graphics,2560 x 1600,Very Good - Refurbished,419.99
MSI,"MSI GF63 15.6"" FHD Gaming 8GB RAM 256SSD Intel Core i5 11th Gen 2.70 GHz GTX1650",15.6,8,Intel Core i5 11th Gen.,NVIDIA GeForce GTX 1650,Dedicated Graphics,1920 x 1080,New,528.95
HP,"HP 15.6"" FHD Touch, Intel Core i3-1115G4, 8GB RAM, 256GB SSD, Silver, Windows 10",15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,309.95
Samsung,Samsung Galaxy Book2 Pro 15.6 2022 FHD 2.1GHz i7-1260P 16GB 512GB SSD - Good,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,489.99
Lenovo,"Lenovo Yoga 7 14"" (512GB SSD, Intel Core i7-1355U, 1.7GHz, 16GB RAM) 2-in-1...",14,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2240 x 1400,Open box,600.0
Samsung,"Samsung Galaxy Book3 15.6"" 13th Gen Intel Core i7 16GB / 512GB Silver -Excellent",15.6,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,603.99
Asus,"Laptop Asus Vivobook S 14 OLED 14"" Intel i5-12500H 8GB 512GB SSD K3402ZA-SB51",14,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2880 x 1800,Open box,475.0
HP,"HP 15.6"" HD Laptop, Intel Core i3-1115G4, 8GB RAM 256GB SSD, Windows 11 - SEALED",15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1366 x 768,New,352.85
Microsoft,"2021 Microsoft Surface Laptop 4 i7-1185G7 16GB RAM 256GB SSD 15"" Touch W11 PRO",15,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2256 x 1504,New,649.0
Lenovo,Lenovo ThinkPad T480s i7-8650U 16GB 256GB NVMe WIFI Webcam Windows 11 Pro,14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,249.99
Dell,"2022 Dell Precision 14 5470 i7-12800H 16GB 512GB 14"" FHD+ RTX A1000 NO Wi-Fi",14,16,Intel Core i7 12th Gen.,NVIDIA RTX A1000,Dedicated Graphics,1920 x 1200,Open box,589.0
Lenovo,"New Lenovo ideapad 3 3i 15.6"" FHD Touch Core i3-1115G4 8GB 256GB SSD Cam Win 11",15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,,New,329.99
Dell,"Dell Precision 5540 15.6"" FHD i9-9980HK 16GB 512GB SSD Quadro T2000 Cam Win10Pro",15.6,16,Intel Core i9 9th Gen.,NVIDIA Quadro T2000,Dedicated Graphics,,Very Good - Refurbished,499.0
Lenovo,"New Lenovo ideapad 3i 14"" FHD Core i5-1155G7 24GB Ram 1TB SSD Webcam Windows 11",14,24,Intel Core i5 11th Gen.,,Integrated/On-Board Graphics,,New,449.99
Dell,"Dell Latitude 5500 15.6"" FHD Quad-Core i5-8365U 16GB 512GB SSD Webcam Win 10 Pro",15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,,Very Good - Refurbished,231.99
Lenovo,"Lenovo ThinkPad X1 Carbon 8th Gen 14"" Laptop i5 512GB SSD 16GB RAM Win 10 (SNB)",14,16,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,404.96
Lenovo,"Lenovo ideapad 3 15IAU7 15.6"" FHD Touch i5-1235U 8GB 256GB SSD Webcam FPReader",15.6,8,Intel Core i5 12th Gen.,,,,Excellent - Refurbished,344.99
Dell,Dell Latitude 14 RUGGED 5430 i5-1145G7 256GB 16GB FHD CMRA W11P BT BKLT FP WTY,14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,329.99
Microsoft,"New Microsoft Surface Book 3. 15"" Inch, 16GB RAM, 256GB, Intel Core i7, Platinum",15,16,Intel Core i7 10th Gen.,NVIDIA GeForce GTX 1660 Ti,Dedicated Graphics,3240 x 2160,New,599.99
Dell,"Dell Precision 5520 15.6"" Intel i5 8GB RAM 240GB SSD HDMI USB WiFi Win 10 Laptop",15.6,8,Intel Core i5 7th Gen.,Intel HD Graphics 630,Integrated/On-Board Graphics,,Very Good - Refurbished,179.99
Lenovo,"Lenovo ThinkPad P52s 15.6"" i7-855U 32GB 512gb SSD NVIDIA Quadro Win 11 p laptop",15.6,32,Intel Core i7 8th Gen.,NVIDIA Quadro P500,,1920 x 1080,Very Good - Refurbished,399.99
Dell,"Dell XPS 13 9300 13.4"" Silver FHD+ 1.3GHz i7-1065G7 16GB RAM 256GB SSD Very Good",13.4,16,Intel Core i7 10th Gen.,Intel Iris Plus Graphics.,Integrated/On-Board Graphics,1920 x 1200,Very Good - Refurbished,409.99
Dell,"Dell Inspiron 15 3520 15.6'' (256GB SSD, Intel Core i5 11th Gen., 4.50 GHz, 8GB)",15.6,8,Intel Core i5 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,105.5
LG,"LG GRAM 17"" 2560X1600 Non-Touch i7-1260P 16GB 512GB SSD 17Z90Q-K.AAC7U1 - GRAY",17,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2560 x 1600,Good - Refurbished,499.0
Microsoft,"Microsoft Surface Pro 3 i5 128GB SSD, 4GB RAM - With Type Cover Keyboard",12,4,Intel Core i5 4th Gen.,Intel HD Graphics,Integrated/On-Board Graphics,2160 x 1440,Open box,159.99
Lenovo,"New Lenovo ideapad 3 3i 15.6"" FHD Touch Core i3-1115G4 16GB 512GB SSD Cam Win 11",15.6,16,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,,New,394.99
Dell,"2024 Dell Latitude 14 5440 Laptop i7-1355U 16GB 512GB SSD 14"" Open Box!!",14,16,Intel Core i7 13th Gen.,,Integrated/On-Board Graphics,,Open box,675.0
Samsung,"Samsung Galaxy Book3 360 13.3"" 512GB SSD Intel Core i7 13th Gen -Excellent",13.3,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,789.99
Dell,"NEW! Dell Inspiron 15 3520 Laptop i5-1255U/256 GB SSD/8GB/15.6"" FHD 120Hz",15.6,8,Intel Core i5 12th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,399.0
Dell,"Dell Latitude 14"" Gaming Laptop PC Intel Core i7 4.2GHz 64GB RAM 2TB SSD Win 11",14,64,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,399.99
Dell,"Dell XPS 9500 15.6"" Silver FHD+ 2.5GHz i5-10300H 16GB RAM 256GB SSD - Good Cond",15.6,16,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1200,Good - Refurbished,399.99
Dell,"Dell 14"" 7490 Touch FHD 32GB NEW 1TB NVME SSD i7-8650U Win 11 pro Laptop Cam WIF",14,32,Intel Core i7 8th Gen.,Intel HD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,389.99
Lenovo,"Lenovo ThinkPad P14s Gen 4 Core i7-1370P, 32GB RAM, 512GB SSD 3 YR Warranty 2024",14,32,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1920 x 1200,New,969.99
Dell,"🔥 NEW DELL 15.6"" Inspiron 3520 FHD Touchscreen Intel i5-1155G7/8GB/256GB LAPTOP",15.6,8,Intel Core i5 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,398.75
Dell,"Dell Vostro 5510 15.6"" Gray FHD 3.4 GHz i7-11390H 16GB RAM 256GB SSD Excellent",15.6,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,369.99
