index,game-of-thones-deaths,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
99,The Thirteen,99,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
100,The Thirteen,100,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
101,The Thirteen,101,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
102,The Thirteen,102,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
103,The Thirteen,103,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
104,The Thirteen,104,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
105,The Thirteen,105,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
106,The Thirteen,106,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
107,Smallfolk,107,7,Theon Greyjoy,House Bolton,Winterfell,Fire,Billy,2
108,Smallfolk,108,7,Theon Greyjoy,House Bolton,Winterfell,Fire,Jack,2
109,House Baratheon of Dragonstone,109,9,Bronn,House Lannister,King's Landing,Wildfire,Matthos Seaworth,2
110,House Baratheon of Dragonstone,110,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
111,House Baratheon of Dragonstone,111,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
112,House Baratheon of Dragonstone,112,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
113,House Baratheon of Dragonstone,113,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
114,House Baratheon of Dragonstone,114,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
115,House Baratheon of Dragonstone,115,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
116,House Baratheon of Dragonstone,116,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
117,House Baratheon of Dragonstone,117,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
118,House Baratheon of Dragonstone,118,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
119,House Baratheon of Dragonstone,119,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
120,House Baratheon of Dragonstone,120,9,Accident,Unknown,King's Landing,Blunt object,Baratheon of Dragonstone soldier,2
121,House Baratheon of Dragonstone,121,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
122,House Baratheon of Dragonstone,122,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
123,House Baratheon of Dragonstone,123,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
124,House Baratheon of Dragonstone,124,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
125,House Baratheon of Dragonstone,125,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
126,House Baratheon of Dragonstone,126,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
127,House Baratheon of Dragonstone,127,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
128,House Baratheon of Dragonstone,128,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
129,House Baratheon of Dragonstone,129,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
130,House Baratheon of Dragonstone,130,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
131,House Baratheon of Dragonstone,131,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
132,House Baratheon of Dragonstone,132,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
133,House Baratheon of Dragonstone,133,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
134,House Baratheon of Dragonstone,134,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
135,House Baratheon of Dragonstone,135,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
136,House Baratheon of Dragonstone,136,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
137,House Baratheon of Dragonstone,137,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
138,House Baratheon of Dragonstone,138,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
139,House Baratheon of Dragonstone,139,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
140,House Baratheon of Dragonstone,140,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
141,House Baratheon of Dragonstone,141,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
142,House Baratheon of Dragonstone,142,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
143,House Baratheon of Dragonstone,143,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Boulder,Baratheon of Dragonstone soldier,2
144,House Baratheon of King's Landing,144,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2
145,House Baratheon of King's Landing,145,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2
146,House Baratheon of King's Landing,146,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2
147,House Baratheon of King's Landing,147,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2
148,House Baratheon of King's Landing,148,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2
149,House Baratheon of Dragonstone,149,9,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,2
150,House Baratheon of Dragonstone,150,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2
151,House Baratheon of Dragonstone,151,9,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,2
152,House Baratheon of Dragonstone,152,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2
153,House Baratheon of King's Landing,153,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2
154,House Baratheon of King's Landing,154,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Hands,Baratheon of King's Landing soldier,2
155,House Baratheon of Dragonstone,155,9,Bronn,House Lannister,King's Landing,Arrow,Baratheon of Dragonstone soldier,2
156,House Baratheon of Dragonstone,156,9,Bronn,House Lannister,King's Landing,Knife,Baratheon of Dragonstone soldier,2
157,House Baratheon of Dragonstone,157,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Fire,Baratheon of Dragonstone soldier,2
158,House Baratheon of King's Landing,158,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2
159,House Baratheon of King's Landing,159,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2
160,House Baratheon of Dragonstone,160,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Boulder,Baratheon of Dragonstone soldier,2
161,House Baratheon of Dragonstone,161,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Boulder,Baratheon of Dragonstone soldier,2
162,House Baratheon of King's Landing,162,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2
163,House Baratheon of King's Landing,163,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2
164,House Baratheon of Dragonstone,164,9,Tyrion Lannister,House Lannister,King's Landing,Axe,Baratheon of Dragonstone soldier,2
165,House Baratheon of Dragonstone,165,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2
166,House Baratheon of Dragonstone,166,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Unknown,Baratheon of Dragonstone soldier,2
167,House Baratheon of Dragonstone,167,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2
168,House Baratheon of King's Landing,168,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2
169,House Baratheon of King's Landing,169,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Bludgeon,Baratheon of King's Landing soldier,2
170,House Baratheon of King's Landing,170,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2
171,House Moore,171,9,Podrick Payne,House Lannister,King's Landing,Spear,Mandon Moore,2
172,House Baratheon of King's Landing,172,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2
173,House Baratheon of Dragonstone,173,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Unknown,Baratheon of Dragonstone soldier,2
174,House Baratheon of Dragonstone,174,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2
175,House Baratheon of Dragonstone,175,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2
176,House Baratheon of Dragonstone,176,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2
177,House Baratheon of Dragonstone,177,9,Lannister soldier,House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,2
178,House Baratheon of Dragonstone,178,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2
179,House Baratheon of Dragonstone,179,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Arrow,Baratheon of Dragonstone soldier,2
180,House Baratheon of Dragonstone,180,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Arrow,Baratheon of Dragonstone soldier,2
181,House Stark,181,10,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,2
182,House Stark,182,10,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,2
183,House Stark,183,10,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,2
184,House Stark,184,10,Osha,House Stark,Winterfell,Knife,Maester Luwin,2
185,Warlocks of Qarth,185,10,Daenerys Targaryen,House Targaryen,Qarth,Dragonfire (Dragon),Pyat Pree,2
186,Night's Watch,186,10,Jon Snow,House Stark,Beyond the Wall,Sword,Qhorin Halfhand,2
187,The Thirteen,187,10,Daenerys Targaryen,House Targaryen,Qarth,Sealed into vault,Xaro Xhoan Daxos,2
188,House Targaryen,188,10,Daenerys Targaryen,House Targaryen,Qarth,Sealed into vault,Doreah,2
189,None,189,1,Barristan Selmy,House Targaryen,Astapor,Knife,Manticore,3
190,House Tully,190,2,None,None,Riverrun,Illness,Hoster Tully,3
191,House Bolton,191,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3
192,House Bolton,192,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3
193,House Bolton,193,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3
194,House Bolton,194,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3
195,Night's Watch,195,4,None,None,Beyond the Wall,Broken foot,Bannen,3
196,Night's Watch,196,4,Karl Tanner,Night's Watch,Beyond the Wall,Knife,Craster,3
197,Night's Watch,197,4,Rast,Night's Watch,Beyond the Wall,Knife,Jeor Mormont,3
198,Brotherhood Without Banners,198,4,"Sandor ""the Hound"" Clegane",House Clegane,Hollow Hill,Sword,Beric Dondarrion,3
199,Good Masters,199,4,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,3
200,Good Masters,200,4,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,3
201,Good Masters,201,4,Daenerys Targaryen,House Targaryen,Astapor,Dragonfire (Dragon),Kraznys mo Nakloz,3
202,Good Masters,202,4,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,3
203,Good Masters,203,4,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,3
204,Good Masters,204,4,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,3
205,Good Masters,205,4,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,3
206,House Stark,206,5,Karstark soldier,House Karstark,Riverrun,Sword,Stark soldier,3
207,House Lannister,207,5,Karstark soldier,House Karstark,Riverrun,Unknown,Willem Lannister,3
208,House Lannister,208,5,Rickard Karstark,House Stark,Riverrun,Knife,Martyn Lannister,3
209,House Stark,209,5,Robb Stark,House Stark,Riverrun,Sword,Rickard Karstark,3
210,Free Folk,210,6,None,None,The Wall,Falling,Wildling,3
211,Free Folk,211,6,None,None,The Wall,Falling,Wildling,3
212,Free Folk,212,6,None,None,The Wall,Falling,Wildling,3
213,Free Folk,213,6,None,None,The Wall,Falling,Wildling,3
214,Free Folk,214,6,None,None,The Wall,Falling,Wildling,3
215,Free Folk,215,6,None,None,The Wall,Falling,Wildling,3
216,House Baelish,216,6,Joffrey Baratheon,House Lannister,King's Landing,Arrow,Ros,3
217,None,217,8,Stannis Baratheon,House Baratheon of Dragonstone,Dragonstone,Fire,Leech,3
218,None,218,8,Stannis Baratheon,House Baratheon of Dragonstone,Dragonstone,Fire,Leech,3
219,None,219,8,Stannis Baratheon,House Baratheon of Dragonstone,Dragonstone,Fire,Leech,3
220,Second Sons,220,8,Daario Naharis,House Targaryen,Yunkai,Unknown,Mero,3
221,Second Sons,221,8,Daario Naharis,House Targaryen,Yunkai,Unknown,Prendahl na Ghezn,3
222,None,222,8,Sam Tarly,Night's Watch,Beyond the Wall,Dragonglass,White Walker,3
223,Night's Watch,223,9,Ygritte,Free Folk,The Gift,Arrow,Horse breeder,3
224,Free Folk,224,9,Jon Snow,House Stark,The Gift,Sword,Wildling,3
225,Free Folk,225,9,Summer,House Stark,The Gift,Teeth,Wildling,3
226,Free Folk,226,9,Shaggydog,House Stark,The Gift,Teeth,Wildling,3
227,Free Folk,227,9,Jon Snow,House Stark,The Gift,Sword,Orell,3
228,Wise Masters,228,9,Jorah Mormont,House Targaryen,Yunkai,Sword,Yunkai soldier,3
229,Wise Masters,229,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
230,Wise Masters,230,9,Grey Worm,House Targaryen,Yunkai,Spear,Yunkai soldier,3
231,Wise Masters,231,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
232,Wise Masters,232,9,Jorah Mormont,House Targaryen,Yunkai,Sword,Yunkai soldier,3
233,Wise Masters,233,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
234,Wise Masters,234,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
235,Wise Masters,235,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
236,Wise Masters,236,9,Grey Worm,House Targaryen,Yunkai,Spear,Yunkai soldier,3
237,Wise Masters,237,9,Daario Naharis,House Targaryen,Yunkai,Knife,Yunkai soldier,3
238,Wise Masters,238,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
239,House Stark,239,9,Lothar Frey,House Frey,The Twins,Knife,Unborn Stark child,3
240,House Stark,240,9,Lothar Frey,House Frey,The Twins,Knife,Talisa Stark,3
241,House Stark,241,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3
242,House Stark,242,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
243,House Stark,243,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3
244,House Stark,244,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3
245,House Stark,245,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
246,House Stark,246,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3
247,House Stark,247,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
248,House Stark,248,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
249,House Stark,249,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
250,House Stark,250,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
251,House Stark,251,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
252,House Stark,252,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
253,House Stark,253,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
254,House Stark,254,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
255,House Stark,255,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
256,House Stark,256,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
257,House Stark,257,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
258,House Stark,258,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
259,House Stark,259,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
260,House Stark,260,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
